,Vocab,Part,Meaning,Example
0,abase,(v.),"to humiliate, degrade","(After being overthrown and abased, the deposed leader offered to bow down to his conqueror.)"
1,abate,(v.),"to reduce, lessen","(The rain poured down for a while, then abated.)"
2,abdicate,(v.),"to give up a position, usually one of leadership","(When he realized that the revolutionaries would surely win, the king abdicated his throne.)"
3,abduct,(v.),"to kidnap, take by force",(The evildoers abducted the fairy princess from her happy home.)
4,aberration,(n.),something that differs from the norm,"(In 1918, the Boston Red Sox won the World Series, but the success turned out to be an aberration, and the Red Sox have not won a World Series since.)"
5,abet,(v.),"to aid, help, encourage",(The spy succeeded only because he had a friend on the inside to abet him.)
6,abhor,(v.),"to hate, detest","(Because he always wound up kicking himself in the head when he tried to play soccer, Oswald began to abhor the sport.)"
7,abide,(v.),to put up with,"(Though he did not agree with the decision, Chuck decided to abide by it.)"
8, ,(v.),to remain,"(Despite the beating they’ve taken from the weather throughout the millennia, the mountains abide.)"
9,abject,(adj.),"wretched, pitiful","(After losing all her money, falling into a puddle, and breaking her ankle, Eloise was abject.)"
10,abjure,(v.),"to reject, renounce","(To prove his honesty, the President abjured the evil policies of his wicked predecessor.)"
11,abnegation,(n.),denial of comfort to oneself,"(The holy man slept on the floor, took only cold showers, and generally followed other practices of abnegation.)"
12,abort,(v.),to give up on a half-finished project or effort,"(After they ran out of food, the men, attempting to jump rope around the world, had to abort and go home.)"
13,abridge,(v.),"to cut down, shorten",(The publisher thought the dictionary was too long and abridged it.)
14, ,(adj.),shortened,(Moby-Dick is such a long book that even the abridged version is longer than most normal books.)
15,abrogate,(v.),"to abolish, usually by authority",(The Bill of Rights assures that the government cannot abrogate our right to a free press.)
16,abscond,(v.),to sneak away and hide,"(In the confusion, the super-spy absconded into the night with the secret plans.)"
17,absolution,(n.),"freedom from blame, guilt, sin","(Once all the facts were known, the jury gave Angela absolution by giving a verdict of not guilty.)"
18,abstain,(v.),to freely choose not to commit an action,"(Everyone demanded that Angus put on the kilt, but he did not want to do it and abstained.)"
19,abstruse,(adj.),hard to comprehend,"(Everyone else in the class understood geometry easily, but John found the subject abstruse.)"
20,accede,(v.),to agree,"(When the class asked the teacher whether they could play baseball instead of learn grammar they expected him to refuse, but instead he acceded to their request.)"
21,accentuate,(v.),"to stress, highlight",(Psychologists agree that those people who are happiest accentuate the positive in life.)
22,accessible,(adj.),"obtainable, reachable","(After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was accessible.)"
23,acclaim,(n.),high praise,(Greg’s excellent poem won the acclaim of his friends.)
24,accolade,(n.),"high praise, special distinction",(Everyone offered accolades to Sam after he won the Noble Prize.)
25,accommodating,(adj.),"helpful, obliging, polite","(Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were accommodating to each other.)"
26,accord,(n.),an agreement,"(After much negotiating, England and Iceland finally came to a mutually beneficial accord about fishing rights off the cost of Greenland.)"
27,accost,(v.),to confront verbally,"(Though Antoinette was normally quite calm, when the waiter spilled soup on her for the fourth time in 15 minutes she stood up and accosted the man.)"
28,accretion,(n.),slow growth in size or amount,(Stalactites are formed by the accretion of minerals from the roofs of caves.)
29,acerbic,(adj.),"biting, bitter in tone or taste",(Jill became extremely acerbic and began to cruelly make fun of all her friends.)
30,acquiesce,(v.),to agree without protesting,"(Though Mr. Correlli wanted to stay outside and work in his garage, when his wife told him that he had better come in to dinner, he acquiesced to her demands.)"
31,acrimony,(n.),"bitterness, discord","(Though they vowed that no girl would ever come between them, Biff and Trevor could not keep acrimony from overwhelming their friendship after they both fell in love with the lovely Teresa.)"
32,acumen,(n.),keen insight,"(Because of his mathematical acumen, Larry was able to figure out in minutes problems that took other students hours.)"
33,acute,(adj.),"sharp, severe",(Arnold could not walk because the pain in his foot was so acute.)
34, ,(adj.),having keen insight,"(Because she was so acute, Libby instantly figured out how the magician pulled off his “magic.”)"
35,adamant,(adj.),"impervious, immovable, unyielding","(Though public pressure was intense, the President remained adamant about his proposal.)"
36,adept,(adj.),extremely skilled,(Tarzan was adept at jumping from tree to tree like a monkey.)
37,adhere,(n.),to stick to something,(We adhered the poster to the wall with tape.)
38, ,(n.),to follow devoutly,(He adhered to the dictates of his religion without question.)
39,admonish,(v.),"to caution, criticize, reprove",(Joe’s mother admonished him not to ruin his appetite by eating cookies before dinner.)
40,adorn,(v.),to decorate,(We adorned the tree with ornaments.)
41,adroit,(adj.),"skillful, dexterous",(The adroit thief could pick someone’s pocket without attracting notice.)
42,adulation,(n.),extreme praise,"(Though the book was pretty good, Marcy did not believe it deserved the adulation it received.)"
43,adumbrate,(v.),to sketch out in a vague way,"(The coach adumbrated a game plan, but none of the players knew precisely what to do.)"
44,adverse,(adj.),"antagonistic, unfavorable, dangerous","(Because of adverse conditions, the hikers decided to give up trying to climb the mountain.)"
45,advocate,(v.),to argue in favor of something,"(Arnold advocated turning left at the stop sign, even though everyone else thought we should turn right.)"
46, ,(n.),a person who argues in favor of something,"(In addition to wanting to turn left at every stop sign, Arnold was also a great advocate of increasing national defense spending.)"
47,aerial,(adj.),somehow related to the air,(We watched as the fighter planes conducted aerial maneuvers.)
48,aesthetic,(adj.),"artistic, related to the appreciation of beauty",(We hired Susan as our interior decorator because she has such a fine aesthetic sense.)
49,affable,(adj.),"friendly, amiable",(People like to be around George because he is so affable and good-natured.)
50,affinity,(n.),a spontaneous feeling of closeness,"(Jerry didn’t know why, but he felt an incredible affinity for Kramer the first time they met.)"
51,affluent,(adj.),"rich, wealthy","(Mrs. Grebelski was affluent, owning a huge house, three cars, and an island near Maine.)"
52,affront,(n.),an insult,"(Bernardo was very touchy, and took any slight as an affront to his honor.)"
53,aggrandize,(v.),to increase or make greater,(Joseph always dropped the names of the famous people his father knew as a way to aggrandize his personal stature.)
54,aggregate,(n.),a whole or total,(The three branches of the .. Government form an aggregate much more powerful than its individual parts.)
55, ,(v.),to gather into a mass,(The dictator tried to aggregate as many people into his army as he possibly could.)
56,aggrieved,(adj.),"distressed, wronged, injured",(The foreman mercilessly overworked his aggrieved employees.)
57,agile,(adj.),"quick, nimble",(The dogs were too slow to catch the agile rabbit.)
58,agnostic,(adj.),believing that the existence of God cannot be proven or disproven,"(Joey’s parents are very religious, but he is agnostic.)"
59,agriculture,(n.),farming,"(It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as agriculture.)"
60,aisle,(n.),a passageway between rows of seats,(Once we got inside the stadium we walked down the aisle to our seats.)
61,alacrity,(n.),"eagerness, speed","(For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table he did so with alacrity.)"
62,alias,(n.),a false name or identity,(He snuck past the guards by using an alias and fake ID.)
63,allay,(v.),"to soothe, ease",(The chairman of the Federal Reserve gave a speech to try to allay investors’ fears about an economic downturn.)
64,allege,(v.),"to assert, usually without proof","(The policeman had alleged that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.)"
65,alleviate,(v.),"to relieve, make more bearable","(This drug will alleviate the symptoms of the terrible disease, but only for a while.)"
66,allocate,(v.),"to distribute, set aside",(The Mayor allocated 30 percent of the funds for improving the town’s schools.)
67,aloof,(adj.),"reserved, distant","(The scientist could sometimes seem aloof, as if he didn’t care about his friends or family, but really he was just thinking about quantum mechanics.)"
68,altercation,(n.),"a dispute, fight","(Jason and Lionel blamed one another for the car accident, leading to an altercation.)"
69,amalgamate,(v.),"to bring together, unite","(Because of his great charisma, the presidential candidate was able to amalgamate all democrats and republicans under his banner.)"
70,ambiguous,(adj.),"uncertain, variably interpretable","(Some people think Caesar married Cleopatra for her power, others believe he was charmed by her beauty. His actual reasons are ambiguous.)"
71,ambivalent,(adj.),having opposing feelings,"(My feelings about Calvin are ambivalent because on one hand he is a loyal friend, but on the other, he is a cruel and vicious thief.)"
